edge_kind	source	target	source_file	target_file	source_line	target_line	edge_line
calls	method:JobsPodspecKitForBRPickerViewExtra::apply_standard_user_target_xcconfig	method:JobsPodspecKitForBRPickerViewExtra::standard_user_target_xcconfig	JobsByPods/BRPickerViewExtra@Pods/JobsPodspecKit.rb	JobsByPods/BRPickerViewExtra@Pods/JobsPodspecKit.rb	277	266	278
calls	method:JobsPodspecKitForBRPickerViewExtra::apply_standard_xcconfig	method:JobsPodspecKitForBRPickerViewExtra::apply_standard_pod_target_xcconfig	JobsByPods/BRPickerViewExtra@Pods/JobsPodspecKit.rb	JobsByPods/BRPickerViewExtra@Pods/JobsPodspecKit.rb	281	273	282
calls	method:JobsPodspecKitForBRPickerViewExtra::apply_standard_xcconfig	method:JobsPodspecKitForBRPickerViewExtra::apply_standard_user_target_xcconfig	JobsByPods/BRPickerViewExtra@Pods/JobsPodspecKit.rb	JobsByPods/BRPickerViewExtra@Pods/JobsPodspecKit.rb	281	277	283
calls	method:JobsPodspecKitForFDFullscreenPopGesture::apply_standard_user_target_xcconfig	method:JobsPodspecKitForFDFullscreenPopGesture::standard_user_target_xcconfig	JobsByPods/FDFullscreenPopGesture@Pods/JobsPodspecKit.rb	JobsByPods/FDFullscreenPopGesture@Pods/JobsPodspecKit.rb	277	266	278
calls	method:JobsPodspecKitForFDFullscreenPopGesture::apply_standard_xcconfig	method:JobsPodspecKitForFDFullscreenPopGesture::apply_standard_pod_target_xcconfig	JobsByPods/FDFullscreenPopGesture@Pods/JobsPodspecKit.rb	JobsByPods/FDFullscreenPopGesture@Pods/JobsPodspecKit.rb	281	273	282
calls	method:JobsPodspecKitForFDFullscreenPopGesture::apply_standard_xcconfig	method:JobsPodspecKitForFDFullscreenPopGesture::apply_standard_user_target_xcconfig	JobsByPods/FDFullscreenPopGesture@Pods/JobsPodspecKit.rb	JobsByPods/FDFullscreenPopGesture@Pods/JobsPodspecKit.rb	281	277	283
calls	method:JobsPodspecKitForFileFolderHandleTool::apply_standard_user_target_xcconfig	method:JobsPodspecKitForFileFolderHandleTool::standard_user_target_xcconfig	JobsByPods/FileFolderHandleTool@Pods/JobsPodspecKit.rb	JobsByPods/FileFolderHandleTool@Pods/JobsPodspecKit.rb	277	266	278
calls	method:JobsPodspecKitForFileFolderHandleTool::apply_standard_xcconfig	method:JobsPodspecKitForFileFolderHandleTool::apply_standard_pod_target_xcconfig	JobsByPods/FileFolderHandleTool@Pods/JobsPodspecKit.rb	JobsByPods/FileFolderHandleTool@Pods/JobsPodspecKit.rb	281	273	282
calls	method:JobsPodspecKitForFileFolderHandleTool::apply_standard_xcconfig	method:JobsPodspecKitForFileFolderHandleTool::apply_standard_user_target_xcconfig	JobsByPods/FileFolderHandleTool@Pods/JobsPodspecKit.rb	JobsByPods/FileFolderHandleTool@Pods/JobsPodspecKit.rb	281	277	283
calls	method:JobsPodspecKitForGKCustomNavigationBarExtra::apply_standard_user_target_xcconfig	method:JobsPodspecKitForGKCustomNavigationBarExtra::standard_user_target_xcconfig	JobsByPods/GKCustomNavigationBarExtra@Pods/JobsPodspecKit.rb	JobsByPods/GKCustomNavigationBarExtra@Pods/JobsPodspecKit.rb	277	266	278
calls	method:JobsPodspecKitForGKCustomNavigationBarExtra::apply_standard_xcconfig	method:JobsPodspecKitForGKCustomNavigationBarExtra::apply_standard_pod_target_xcconfig	JobsByPods/GKCustomNavigationBarExtra@Pods/JobsPodspecKit.rb	JobsByPods/GKCustomNavigationBarExtra@Pods/JobsPodspecKit.rb	281	273	282
calls	method:JobsPodspecKitForGKCustomNavigationBarExtra::apply_standard_xcconfig	method:JobsPodspecKitForGKCustomNavigationBarExtra::apply_standard_user_target_xcconfig	JobsByPods/GKCustomNavigationBarExtra@Pods/JobsPodspecKit.rb	JobsByPods/GKCustomNavigationBarExtra@Pods/JobsPodspecKit.rb	281	277	283
calls	method:NSData::initWithData	method:NSData::initWithData	JobsByPods/GKCustomNavigationBarExtra@Pods/Support/UIKit/NSData/NSData+Extra/NSData+Extra.m	JobsByPods/GKCustomNavigationBarExtra@Pods/Support/UIKit/NSData/NSData+Extra/NSData+Extra.m	12	12	16
calls	method:NSString::substringFromIndex	method:NSString::substringFromIndex	JobsByPods/GKCustomNavigationBarExtra@Pods/Support/UIKit/NSString/NSString+Sys/NSString+Sys.m	JobsByPods/GKCustomNavigationBarExtra@Pods/Support/UIKit/NSString/NSString+Sys/NSString+Sys.m	28	28	32
calls	method:NSString::substringToIndex	method:NSString::substringToIndex	JobsByPods/GKCustomNavigationBarExtra@Pods/Support/UIKit/NSString/NSString+Sys/NSString+Sys.m	JobsByPods/GKCustomNavigationBarExtra@Pods/Support/UIKit/NSString/NSString+Sys/NSString+Sys.m	36	36	40
calls	method:NSString::rangeOfString	method:NSString::rangeOfString	JobsByPods/GKCustomNavigationBarExtra@Pods/Support/UIKit/NSString/NSString+Sys/NSString+Sys.m	JobsByPods/GKCustomNavigationBarExtra@Pods/Support/UIKit/NSString/NSString+Sys/NSString+Sys.m	52	52	56
calls	method:NSString::range	method:NSString::rangeOfString	JobsByPods/GKCustomNavigationBarExtra@Pods/Support/UIKit/NSString/NSString+Sys/NSString+Sys.m	JobsByPods/GKCustomNavigationBarExtra@Pods/Support/UIKit/NSString/NSString+Sys/NSString+Sys.m	60	52	61
calls	method:NSString::characterAtIndex	method:NSString::characterAtIndex	JobsByPods/GKCustomNavigationBarExtra@Pods/Support/UIKit/NSString/NSString+Sys/NSString+Sys.m	JobsByPods/GKCustomNavigationBarExtra@Pods/Support/UIKit/NSString/NSString+Sys/NSString+Sys.m	72	72	76
calls	method:JXCategoryTimelineView::initializeData	method:JXCategoryTimelineView::initializeData	JobsByPods/JXCategoryViewExtra@Pods/Core/JXCategoryTimelineViews/JXCategoryTimelineView/JXCategoryTimelineView.m	JobsByPods/JXCategoryViewExtra@Pods/Core/JXCategoryTimelineViews/JXCategoryTimelineView/JXCategoryTimelineView.m	12	12	13
calls	method:JXCategoryTimelineView::refreshCellModel:index:	method:JXCategoryTimelineView::refreshCellModel:index:	JobsByPods/JXCategoryViewExtra@Pods/Core/JXCategoryTimelineViews/JXCategoryTimelineView/JXCategoryTimelineView.m	JobsByPods/JXCategoryViewExtra@Pods/Core/JXCategoryTimelineViews/JXCategoryTimelineView/JXCategoryTimelineView.m	37	37	39
calls	method:JobsPodspecKitForJobsAPIs::apply_standard_user_target_xcconfig	method:JobsPodspecKitForJobsAPIs::standard_user_target_xcconfig	JobsByPods/JobsAPIs@Pods/JobsPodspecKit.rb	JobsByPods/JobsAPIs@Pods/JobsPodspecKit.rb	277	266	278
calls	method:JobsPodspecKitForJobsAPIs::apply_standard_xcconfig	method:JobsPodspecKitForJobsAPIs::apply_standard_pod_target_xcconfig	JobsByPods/JobsAPIs@Pods/JobsPodspecKit.rb	JobsByPods/JobsAPIs@Pods/JobsPodspecKit.rb	281	273	282
calls	method:JobsPodspecKitForJobsAPIs::apply_standard_xcconfig	method:JobsPodspecKitForJobsAPIs::apply_standard_user_target_xcconfig	JobsByPods/JobsAPIs@Pods/JobsPodspecKit.rb	JobsByPods/JobsAPIs@Pods/JobsPodspecKit.rb	281	277	283
calls	method:NSData::initWithData	method:NSData::initWithData	JobsByPods/JobsAPIs@Pods/Support/UIKit/NSData/NSData+Extra/NSData+Extra.m	JobsByPods/JobsAPIs@Pods/Support/UIKit/NSData/NSData+Extra/NSData+Extra.m	12	12	16
calls	method:NSString::substringFromIndex	method:NSString::substringFromIndex	JobsByPods/JobsAPIs@Pods/Support/UIKit/NSString/NSString+Sys/NSString+Sys.m	JobsByPods/JobsAPIs@Pods/Support/UIKit/NSString/NSString+Sys/NSString+Sys.m	28	28	32
calls	method:NSString::substringToIndex	method:NSString::substringToIndex	JobsByPods/JobsAPIs@Pods/Support/UIKit/NSString/NSString+Sys/NSString+Sys.m	JobsByPods/JobsAPIs@Pods/Support/UIKit/NSString/NSString+Sys/NSString+Sys.m	36	36	40
calls	method:NSString::rangeOfString	method:NSString::rangeOfString	JobsByPods/JobsAPIs@Pods/Support/UIKit/NSString/NSString+Sys/NSString+Sys.m	JobsByPods/JobsAPIs@Pods/Support/UIKit/NSString/NSString+Sys/NSString+Sys.m	52	52	56
calls	method:NSString::range	method:NSString::rangeOfString	JobsByPods/JobsAPIs@Pods/Support/UIKit/NSString/NSString+Sys/NSString+Sys.m	JobsByPods/JobsAPIs@Pods/Support/UIKit/NSString/NSString+Sys/NSString+Sys.m	60	52	61
calls	method:NSString::characterAtIndex	method:NSString::characterAtIndex	JobsByPods/JobsAPIs@Pods/Support/UIKit/NSString/NSString+Sys/NSString+Sys.m	JobsByPods/JobsAPIs@Pods/Support/UIKit/NSString/NSString+Sys/NSString+Sys.m	72	72	76
calls	method:NSString::jobsUrl	function:isValue	JobsByPods/JobsAPIs@Pods/Support/UIKit/NSString/NSString+URL/NSString+URL.m	JobsByPods/JobsStringUtils@Pods/Core/JobsStringUtils.m	14	41	16
calls	method:NSString::URLRequest	method:NSURLRequest::initBy	JobsByPods/JobsAPIs@Pods/Support/UIKit/NSString/NSString+URL/NSString+URL.m	JobsByPods/GKCustomNavigationBarExtra@Pods/Support/UIKit/NSURLRequest/NSURLRequest+Extra/NSURLRequest+Extra.m	23	12	24
calls	method:NSString::jobsFileUrl	method:NSURL::fileURLWithPath	JobsByPods/JobsAPIs@Pods/Support/UIKit/NSString/NSString+URL/NSString+URL.m	JobsByPods/JobsByOCPods@Pods/Core/UIKit/NSURL/NSURL+Extra/NSURL+Extra.m	28	12	29
calls	method:JobsAppTools::allocWithZone:	method:JobsAppTools::sharedManager	JobsByPods/JobsAppTools@Pods/Core/JobsAppTools.m	JobsByPods/JobsAppTools@Pods/Core/JobsAppTools.m	33	22	34
calls	method:JobsPodspecKitForJobsAppTools::apply_standard_user_target_xcconfig	method:JobsPodspecKitForJobsAppTools::standard_user_target_xcconfig	JobsByPods/JobsAppTools@Pods/JobsPodspecKit.rb	JobsByPods/JobsAppTools@Pods/JobsPodspecKit.rb	277	266	278
calls	method:JobsPodspecKitForJobsAppTools::apply_standard_xcconfig	method:JobsPodspecKitForJobsAppTools::apply_standard_pod_target_xcconfig	JobsByPods/JobsAppTools@Pods/JobsPodspecKit.rb	JobsByPods/JobsAppTools@Pods/JobsPodspecKit.rb	281	273	282
calls	method:JobsPodspecKitForJobsAppTools::apply_standard_xcconfig	method:JobsPodspecKitForJobsAppTools::apply_standard_user_target_xcconfig	JobsByPods/JobsAppTools@Pods/JobsPodspecKit.rb	JobsByPods/JobsAppTools@Pods/JobsPodspecKit.rb	281	277	283
calls	method:NSString::add	function:JobsMutableString	JobsByPods/JobsAppTools@Pods/Support/UIKit/NSString/NSString+Extra/NSString+Extra.m	JobsByPods/JobsStringUtils@Pods/Core/JobsStringUtils.m	26	10	32
