source_module	target_module	edge_kind	weight
App/JobsOCBaseConfigDemo	JobsByPods/JobsModelDSL@Pods	calls	664
App/JobsOCBaseConfigDemo	JobsByPods/ManualByOCPods@Pods	calls	283
App/JobsOCBaseConfigDemo	JobsByPods/GKCustomNavigationBarExtra@Pods	calls	277
JobsByPods/ManualByOCPods@Pods	JobsByPods/JobsClass@Pods	calls	188
JobsByPods/JobsOCTools@Pods	JobsByPods/JobsModelDSL@Pods	calls	140
App/JobsOCBaseConfigDemo	JobsByPods/JobsOCDefs@Pods	calls	121
JobsByPods/JobsBaseUI@Pods	JobsByPods/JobsModelDSL@Pods	calls	113
JobsByPods/JobsByOCPods@Pods	JobsByPods/JobsModelDSL@Pods	calls	110
JobsByPods/JobsOCProtocols@Pods	JobsByPods/JobsModel@Pods	calls	95
App/JobsOCBaseConfigDemo	JobsByPods/JobsByOCPods@Pods	calls	89
JobsByPods/JobsOCTools@Pods	JobsByPods/GKCustomNavigationBarExtra@Pods	calls	87
App/JobsOCBaseConfigDemo	JobsByPods/JobsBaseUI@Pods	calls	83
JobsByPods/JobsByOCPods@Pods	JobsByPods/JobsClass@Pods	calls	83
JobsByPods/JobsByOCPods@Pods	JobsByPods/JobsStringUtils@Pods	calls	83
JobsByPods/JobsByOCPods@Pods	JobsByPods/GKCustomNavigationBarExtra@Pods	calls	73
JobsByPods/JobsByOCPods@Pods	JobsByPods/JobsModel@Pods	calls	68
JobsByPods/GKCustomNavigationBarExtra@Pods	JobsByPods/JobsModelDSL@Pods	calls	65
JobsByPods/JobsBaseUI@Pods	JobsByPods/GKCustomNavigationBarExtra@Pods	calls	65
JobsByPods/JobsNavigationTransitionMgr@Pods	JobsByPods/JobsClass@Pods	calls	65
JobsByPods/JobsNavBar@Pods	JobsByPods/JobsModelDSL@Pods	calls	64
App/JobsOCBaseConfigDemo	JobsByPods/JobsStringUtils@Pods	calls	62
JobsByPods/JobsBaseUI@Pods	JobsByPods/ManualByOCPods@Pods	calls	62
JobsByPods/JobsBaseUI@Pods	JobsByPods/JobsStringUtils@Pods	calls	61
JobsByPods/JobsNavigationTransitionMgr@Pods	JobsByPods/JobsStringUtils@Pods	calls	61
JobsByPods/JobsNavBar@Pods	JobsByPods/GKCustomNavigationBarExtra@Pods	calls	60
App/JobsOCBaseConfigDemo	JobsByPods/JobsModel@Pods	calls	58
JobsByPods/JobsNavigationTransitionMgr@Pods	JobsByPods/GKCustomNavigationBarExtra@Pods	calls	58
