node_kind	node_name	file_path	start_line	inbound_count	edge_kinds
function	JobsWidth	JobsByPods/JobsOCDefs@Pods/Core/MacroDef_Others/MacroDef_Size.h	377	1237	calls
method	NSObject::isKindOfClass	JobsByPods/JobsClass@Pods/Core/NSObject+Class/NSObject+Class.m	77	860	calls
method	YYWeakProxy::class	JobsByPods/ManualByOCPods@Pods/YYKits/Core/YYWeakProxy/YYWeakProxy.m	49	492	calls
method	ASTestSection::init	JobsByPods/ManualByOCPods@Pods/Texture/Tests/ASCollectionModernDataSourceTests.mm	360	487	calls
method	JobsTuple::new	JobsByPods/JobsBaseUI@Pods/Core/UIBaseObject/JobsTuple/JobsTuple.m	27	326	calls
variable	property	JobsByPods/ManualByOCPods@Pods/Texture/Source/TextExperiment/Utility/NSAttributedString+ASText.h	60	245	calls
function	isValue	JobsByPods/JobsStringUtils@Pods/Core/JobsStringUtils.m	41	211	calls
method	UIBezierPath::add	JobsByPods/GKCustomNavigationBarExtra@Pods/Support/UIKit/UIBezierPath/UIBezierPath+Extra/UIBezierPath+Extra.m	59	197	calls
function	UIFontWeightRegularSize	JobsByPods/JobsOCDefs@Pods/Core/MacroDef_Others/MacroDef_Font.h	30	197	calls
method	UIView::addSubview	JobsByPods/GKCustomNavigationBarExtra@Pods/Support/UIKit/UIView/UIView+Extra/UIView+Extra.m	18	195	calls
method	UIColor::colorWithAlphaComponentBy	JobsByPods/GKCustomNavigationBarExtra@Pods/Support/UIKit/UIColor/UIColor+Extra/UIColor+Extra.m	265	178	calls
function	ScaleW	JobsByPods/JobsOCDefs@Pods/Core/MacroDef_Others/MacroDef_Size.h	361	177	calls
method	TestLayoutTableViewController::init	JobsByPods/ManualByOCPods@Pods/TABAnimated/TABAnimatedDemo/TABAnimatedDemo/ViewController/TableView/Controller/Others/TestLayoutTableViewController.m	24	160	calls
function	isNull	JobsByPods/JobsStringUtils@Pods/Core/JobsStringUtils.m	24	157	calls
function	KindOfScrollViewCls	JobsByPods/JobsOCDefs@Pods/Core/MacroDef_Sys/MacroDef_SDK.h	91	152	calls
method	NSObject::feedbackGenerator	JobsByPods/GKCustomNavigationBarExtra@Pods/Support/UIKit/NSObject/NSObject+Extra/NSObject+Extra.m	12	143	calls
method	TABFormAnimated::addNewMethodWithSel:newSel:	JobsByPods/ManualByOCPods@Pods/TABAnimated/TABAnimatedDemo/TABAnimated/Control/TABFormAnimated.m	105	121	calls
function	ASDisplayNodeWithBackgroundColor	JobsByPods/ManualByOCPods@Pods/Texture/Tests/ASLayoutSpecSnapshotTestsHelper.h	31	112	calls
method	ASMutableAttributedStringBuilder::initWithString:attributes:	JobsByPods/ManualByOCPods@Pods/Texture/Source/Details/ASMutableAttributedStringBuilder.mm	39	107	calls
method	UIButton::jobsInit	JobsByPods/GKCustomNavigationBarExtra@Pods/Support/UIKit/UIButton/UIButton+SimplyMake/UIButton+SimplyMake.m	307	87	calls
method	ASButtonNode::init	JobsByPods/ManualByOCPods@Pods/Texture/Source/ASButtonNode.mm	32	84	calls
property	ASNetworkImageNode::ASDISPLAYNODE_DEPRECATED_MSG	JobsByPods/ManualByOCPods@Pods/Texture/Source/ASNetworkImageNode.h	91	84	calls
function	toStringByInt	JobsByPods/JobsStringUtils@Pods/Core/JobsStringUtils.m	75	82	calls
method	ASButtonNode::setAttributedTitle:forState:	JobsByPods/ManualByOCPods@Pods/Texture/Source/ASButtonNode.mm	357	81	calls
method	TABComponentManager::animation	JobsByPods/ManualByOCPods@Pods/TABAnimated/TABAnimatedDemo/TABAnimated/Decorate/Chain/TABComponentManager.m	74	81	calls
function	JobsSafeWidth::jobsZeroSizeValue	JobsByPods/JobsOCDefs@Pods/Core/MacroDef_Others/MacroDef_Size.h	553	76	calls
function	ASDimensionMake	JobsByPods/ManualByOCPods@Pods/Texture/Source/Layout/ASDimension.mm	18	69	calls
method	JobsLocker::lock	JobsByPods/JobsLocker@Pods/Core/JobsLocker/JobsLocker.m	65	69	calls
method	JobsNavSettingVC::makeNavByAlpha	JobsByPods/JobsBaseUI@Pods/Core/UIBaseVC/JobsNavSettingVC/JobsNavSettingVC.m	117	68	calls
method	UIBezierPath::moveTo	JobsByPods/GKCustomNavigationBarExtra@Pods/Support/UIKit/UIBezierPath/UIBezierPath+Extra/UIBezierPath+Extra.m	67	66	calls
function	ASCollectionViewTests::testThatDeletingAndReloadingTheSameItemThrowsAnException::XCTAssertThrows	JobsByPods/ManualByOCPods@Pods/Texture/Tests/ASCollectionViewTests.mm	473	65	calls
function	UIFontWeightBoldSize	JobsByPods/JobsOCDefs@Pods/Core/MacroDef_Others/MacroDef_Font.h	42	64	calls
method	_ASDisplayLayer::setNeedsLayout	JobsByPods/ManualByOCPods@Pods/Texture/Source/Details/_ASDisplayLayer.mm	91	63	calls
method	ASMutableAttributedStringBuilder::length	JobsByPods/ManualByOCPods@Pods/Texture/Source/Details/ASMutableAttributedStringBuilder.mm	223	61	calls
method	UIView::build	JobsByPods/GKCustomNavigationBarExtra@Pods/Support/UIKit/UIView/UIView+Measure/UIView+Measure.m	12	61	calls
method	TABAnimated::sharedAnimated	JobsByPods/ManualByOCPods@Pods/TABAnimated/TABAnimatedDemo/TABAnimated/TABAnimated.m	17	58	calls
method	_ASDisplayLayer::setNeedsDisplay	JobsByPods/ManualByOCPods@Pods/Texture/Source/Details/_ASDisplayLayer.mm	107	57	calls
function	JobsMutableString	JobsByPods/JobsStringUtils@Pods/Core/JobsStringUtils.m	10	54	calls
variable	block	JobsByPods/ManualByOCPods@Pods/Texture/Source/Details/Transactions/_ASAsyncTransaction.mm	351	51	calls
function	toStringByID	JobsByPods/JobsStringUtils@Pods/Core/JobsStringUtils.m	71	51	calls
function	Prop_copy	JobsOCBaseConfigDemo/业务逻辑/功能模块/Demo@JobsIM/JobsIMComponent/JobsIMModel/JobsIMChatInfoModel/JobsIMChatInfoModel.h	22	50	calls
method	ASAbstractLayoutController::init	JobsByPods/ManualByOCPods@Pods/Texture/Source/Details/ASAbstractLayoutController.mm	136	49	calls
method	ASStackLayoutSpecSnapshotTests::testStackLayoutSpecWithStyle:sizeRange:subnodes:identifier:	JobsByPods/ManualByOCPods@Pods/Texture/Tests/ASStackLayoutSpecSnapshotTests.mm	83	49	calls
function	ASDimensionMakeWithPoints	JobsByPods/ManualByOCPods@Pods/Texture/Source/Layout/ASDimension.h	131	47	calls
method	NSString::isEqualToString	JobsByPods/JobsAPIs@Pods/Support/UIKit/NSString/NSString+Check/NSString+Check.m	19	47	calls
function	PINCachedAnimatedImage::isDataSupported:::if	JobsByPods/ManualByOCPods@Pods/Texture/Source/Details/ASPINRemoteImageDownloader.mm	66	47	calls
method	NSMutableAttributedString::as_setAttribute:value:range:	JobsByPods/ManualByOCPods@Pods/Texture/Source/TextExperiment/Utility/NSAttributedString+ASText.mm	663	46	calls
method	ASTextRange::end	JobsByPods/ManualByOCPods@Pods/Texture/Source/TextExperiment/Component/ASTextInput.mm	74	45	calls
method	ASWeakSet::removeAllObjects	JobsByPods/ManualByOCPods@Pods/Texture/Source/Details/ASWeakSet.mm	37	45	calls
method	BaseView::layoutIfNeeded	JobsByPods/JobsBasePopupView@Pods/Support/BaseUI/BaseView/BaseView.m	63	45	calls
method	NSString::initByUTF8Data	JobsByPods/JobsAPIs@Pods/Support/UIKit/NSString/NSString+Conversion/NSString+Conversion.m	13	45	calls
method	NSValue::byPoint	JobsByPods/GKCustomNavigationBarExtra@Pods/Support/UIKit/NSValue/NSValue+Extra/NSValue+Extra.m	24	45	calls
method	UIImpactFeedbackGenerator::initByStyle	JobsByPods/GKCustomNavigationBarExtra@Pods/Support/UIKit/UIImpactFeedbackGenerator/UIImpactFeedbackGenerator+Extra/UIImpactFeedbackGenerator+Extra.m	12	45	calls
function	ASDisplayShouldFetchBatchForContext	JobsByPods/ManualByOCPods@Pods/Texture/Source/Private/ASBatchFetching.mm	37	43	calls
method	NSString::substringWithRange	JobsByPods/JobsAPIs@Pods/Support/UIKit/NSString/NSString+Replace/NSString+Replace.m	301	42	calls
method	ASDisplayNode::bounds	JobsByPods/ManualByOCPods@Pods/Texture/Source/Private/ASDisplayNode+UIViewBridge.mm	299	41	calls
method	ViewController::init	JobsByPods/ManualByOCPods@Pods/Texture/examples_extra/ASTableViewStressTest/Sample/ViewController.m	35	40	calls
function	JobsLoadBundleImage	JobsByPods/JobsLoadingImage@Pods/Core/JobsLoadingImage.m	140	38	calls
method	NSString::hasPrefix	JobsByPods/JobsAPIs@Pods/Support/UIKit/NSString/NSString+Check/NSString+Check.m	39	37	calls
method	UIColor::tab_normalDynamicBackgroundColor	JobsByPods/ManualByOCPods@Pods/TABAnimated/TABAnimatedDemo/TABAnimatedDemo/Base/Category/UIColor+TABCategory.m	27	37	calls
method	NSString::substringFromIndex	JobsByPods/GKCustomNavigationBarExtra@Pods/Support/UIKit/NSString/NSString+Sys/NSString+Sys.m	28	36	calls
method	TransitionNode::init	JobsByPods/ManualByOCPods@Pods/Texture/examples/ASDKLayoutTransition/Sample/ViewController.m	28	36	calls
function	toStringByLong	JobsByPods/JobsStringUtils@Pods/Core/JobsStringUtils.m	103	36	calls
method	ASCollectionNode::pendingState	JobsByPods/ManualByOCPods@Pods/Texture/Source/ASCollectionNode.mm	428	35	calls
function	ASDimensionEqualToDimension	JobsByPods/ManualByOCPods@Pods/Texture/Source/Layout/ASDimension.h	149	35	calls
function	ASPerformBlockOnMainThread	JobsByPods/ManualByOCPods@Pods/Texture/Source/ASInternalHelpers.mm	133	35	calls
function	KindOfClsFromStr	JobsByPods/JobsOCDefs@Pods/Core/MacroDef_Sys/MacroDef_SDK.h	27	35	calls
method	TestLayoutCell::initWithStyle:reuseIdentifier:	JobsByPods/ManualByOCPods@Pods/TABAnimated/TABAnimatedDemo/TABAnimatedDemo/ViewController/TableView/Controller/Others/TestLayoutTableViewController.m	164	34	calls
method	JXCategoryViewAnimator::init	JobsByPods/ManualByOCPods@Pods/TABAnimated/TABAnimatedDemo/TABAnimatedDemo/Third/JXCategoryView/Sources/Common/JXCategoryViewAnimator.m	23	33	calls
method	UIButton::makeBtnTitleByShowingType	JobsByPods/JobsBaseUI@Pods/Support/UIKit/UIButton/UIButton+Extra/UIButton+Extra.m	12	33	calls
function	ASStackLayoutSpecSnapshotTests::setCGSizeToNode	JobsByPods/ManualByOCPods@Pods/Texture/Tests/ASStackLayoutSpecSnapshotTests.mm	45	32	calls
method	FeedHeaderNode::init	JobsByPods/ManualByOCPods@Pods/Texture/examples/ASDKgram/Sample/FeedHeaderNode.m	23	32	calls
function	bayonRegular	JobsByPods/JobsOCDefs@Pods/Core/MacroDef_Others/MacroDef_Font.h	141	32	calls
method	JobsBasePopupView::init	JobsByPods/JobsBasePopupView@Pods/Core/JobsBasePopupView.m	26	31	calls
variable	completion	JobsByPods/ManualByOCPods@Pods/TKPermissionKit/NetWork/TKPermissionNetWork.h	28	31	calls
method	ASTableView::reloadData	JobsByPods/ManualByOCPods@Pods/Texture/Source/ASTableView.mm	552	30	calls
function	Guard	JobsByPods/JobsStringUtils@Pods/Core/JobsStringUtils.m	51	30	calls
method	NSAttributedString::as_attribute:atIndex:	JobsByPods/ManualByOCPods@Pods/Texture/Source/TextExperiment/Utility/NSAttributedString+ASText.mm	29	30	calls
method	UIButton::clickActionBy	JobsByPods/GKCustomNavigationBarExtra@Pods/Support/UIKit/UIButton/UIButton+SimplyMake/UIButton+SimplyMake.m	36	30	calls
method	UIButton::jobsResetBtnTitleCor	JobsByPods/GKCustomNavigationBarExtra@Pods/Support/UIKit/UIButton/UIButton+UI/UIButton+UI.m	327	30	calls
