class,canonical,status,oc_names,swift_names,oc_support_names,oc_files,swift_files,oc_support_files
Array,adddistributeto,swift_only,,addDistributeTo,,,JobsByPods/JobsByUIKit@Pods/iOS.SDK/UIView/UIView+SnapKit.swift:305,
Array,addto,swift_only,,addTo,,,JobsByPods/JobsByUIKit@Pods/iOS.SDK/UIView/UIView+SnapKit.swift:293,
AttributeContainer,adaptiveimageglyph,swift_only,,byAdaptiveImageGlyph,,,JobsByPods/JobsByUIKit@Pods/iOS.SDK/Others@SDK/UIKitAttributes.swift:188,
AttributeContainer,attachment,swift_only,,byAttachment,,,JobsByPods/JobsByUIKit@Pods/iOS.SDK/Others@SDK/UIKitAttributes.swift:148,
AttributeContainer,backgroundcolor,swift_only,,byBackgroundColor,,,JobsByPods/JobsByUIKit@Pods/iOS.SDK/Others@SDK/UIKitAttributes.swift:43,
AttributeContainer,baselineoffset,swift_only,,byBaselineOffset,,,JobsByPods/JobsByUIKit@Pods/iOS.SDK/Others@SDK/UIKitAttributes.swift:123,
AttributeContainer,expansion,swift_only,,byExpansion,,,JobsByPods/JobsByUIKit@Pods/iOS.SDK/Others@SDK/UIKitAttributes.swift:166,
AttributeContainer,font,swift_only,,byFont,,,JobsByPods/JobsByUIKit@Pods/iOS.SDK/Others@SDK/UIKitAttributes.swift:19,
AttributeContainer,foregroundcolor,swift_only,,byForegroundColor,,,JobsByPods/JobsByUIKit@Pods/iOS.SDK/Others@SDK/UIKitAttributes.swift:35,
AttributeContainer,kern,swift_only,,byKern,,,JobsByPods/JobsByUIKit@Pods/iOS.SDK/Others@SDK/UIKitAttributes.swift:59,
AttributeContainer,ligature,swift_only,,byLigature,,,JobsByPods/JobsByUIKit@Pods/iOS.SDK/Others@SDK/UIKitAttributes.swift:51,
AttributeContainer,obliqueness,swift_only,,byObliqueness,,,JobsByPods/JobsByUIKit@Pods/iOS.SDK/Others@SDK/UIKitAttributes.swift:157,
AttributeContainer,paragraphstyle,swift_only,,byParagraphStyle,,,JobsByPods/JobsByUIKit@Pods/iOS.SDK/Others@SDK/UIKitAttributes.swift:27,
AttributeContainer,shadow,swift_only,,byShadow,,,JobsByPods/JobsByUIKit@Pods/iOS.SDK/Others@SDK/UIKitAttributes.swift:107,
AttributeContainer,strikethroughcolor,swift_only,,byStrikethroughColor,,,JobsByPods/JobsByUIKit@Pods/iOS.SDK/Others@SDK/UIKitAttributes.swift:139,
AttributeContainer,strikethroughstyle,swift_only,,byStrikethroughStyle,,,JobsByPods/JobsByUIKit@Pods/iOS.SDK/Others@SDK/UIKitAttributes.swift:75,
AttributeContainer,strokecolor,swift_only,,byStrokeColor,,,JobsByPods/JobsByUIKit@Pods/iOS.SDK/Others@SDK/UIKitAttributes.swift:91,
AttributeContainer,strokewidth,swift_only,,byStrokeWidth,,,JobsByPods/JobsByUIKit@Pods/iOS.SDK/Others@SDK/UIKitAttributes.swift:99,
AttributeContainer,texteffect,swift_only,,byTextEffect,,,JobsByPods/JobsByUIKit@Pods/iOS.SDK/Others@SDK/UIKitAttributes.swift:115,
AttributeContainer,textitemtag,swift_only,,byTextItemTag,,,JobsByPods/JobsByUIKit@Pods/iOS.SDK/Others@SDK/UIKitAttributes.swift:177,
AttributeContainer,tracking,swift_only,,byTracking,,,JobsByPods/JobsByUIKit@Pods/iOS.SDK/Others@SDK/UIKitAttributes.swift:67,
AttributeContainer,uikit,swift_only,,byUIKit,,,JobsByPods/JobsByUIKit@Pods/iOS.SDK/Others@SDK/UIKitAttributes.swift:196,
AttributeContainer,underlinecolor,swift_only,,byUnderlineColor,,,JobsByPods/JobsByUIKit@Pods/iOS.SDK/Others@SDK/UIKitAttributes.swift:131,
AttributeContainer,underlinestyle,swift_only,,byUnderlineStyle,,,JobsByPods/JobsByUIKit@Pods/iOS.SDK/Others@SDK/UIKitAttributes.swift:83,
CADisplayLink,frameinterval,oc_only,byFrameInterval,,,JobsByPods/JobsOCDSL@Pods/Core/UIKit/CADisplayLink+DSLs/CADisplayLink+DSL/CADisplayLink+DSL.h:25; JobsByPods/JobsOCDSL@Pods/Core/UIKit/CADisplayLink+DSLs/CADisplayLink+DSL/CADisplayLink+DSL.m:17,,
CADisplayLink,invalidate,oc_only,byInvalidate,,,JobsByPods/JobsOCDSL@Pods/Core/UIKit/CADisplayLink+DSLs/CADisplayLink+DSL/CADisplayLink+DSL.h:27; JobsByPods/JobsOCDSL@Pods/Core/UIKit/CADisplayLink+DSLs/CADisplayLink+DSL/CADisplayLink+DSL.m:35,,
CADisplayLink,paused,oc_only,byPaused,,,JobsByPods/JobsOCDSL@Pods/Core/UIKit/CADisplayLink+DSLs/CADisplayLink+DSL/CADisplayLink+DSL.h:24; JobsByPods/JobsOCDSL@Pods/Core/UIKit/CADisplayLink+DSLs/CADisplayLink+DSL/CADisplayLink+DSL.m:8,,
CADisplayLink,preferredframeraterange,oc_only,byPreferredFrameRateRange,,,JobsByPods/JobsOCDSL@Pods/Core/UIKit/CADisplayLink+DSLs/CADisplayLink+DSL/CADisplayLink+DSL.h:29; JobsByPods/JobsOCDSL@Pods/Core/UIKit/CADisplayLink+DSLs/CADisplayLink+DSL/CADisplayLink+DSL.m:44,,
CADisplayLink,preferredframespersecond,oc_only,byPreferredFramesPerSecond,,,JobsByPods/JobsOCDSL@Pods/Core/UIKit/CADisplayLink+DSLs/CADisplayLink+DSL/CADisplayLink+DSL.h:26; JobsByPods/JobsOCDSL@Pods/Core/UIKit/CADisplayLink+DSLs/CADisplayLink+DSL/CADisplayLink+DSL.m:26,,
CALayer,addanimation,support_only,,,addAnimation,,,JobsByPods/JobsByOCPods@Pods/Core/UIKit/CALayer/CALayer+Extra/CALayer+Extra.h:33; JobsByPods/JobsByOCPods@Pods/Core/UIKit/CALayer/CALayer+Extra/CALayer+Extra.m:31
CALayer,addanimationby,support_only,,,addAnimationBy,,,JobsByPods/JobsByOCPods@Pods/Core/UIKit/CALayer/CALayer+Extra/CALayer+Extra.h:31; JobsByPods/JobsByOCPods@Pods/Core/UIKit/CALayer/CALayer+Extra/CALayer+Extra.m:12
CALayer,addsublayer,support_only,,,addSublayer,,,JobsByPods/JobsBaseUI@Pods/Support/UIKit/CALayer/CALayer+Extra/CALayer+Extra.h:36; JobsByPods/JobsBaseUI@Pods/Support/UIKit/CALayer/CALayer+Extra/CALayer+Extra.m:48; JobsByPods/JobsByOCPods@Pods/Core/UIKit/CALayer/CALayer+Extra/CALayer+Extra.h:61; JobsByPods/JobsByOCPods@Pods/Core/UIKit/CALayer/CALayer+Extra/CALayer+Extra.m:153
CAPropertyAnimation,additiveby,support_only,,,additiveBy,,,JobsByPods/JobsByOCPods@Pods/Core/UIKit/CAPropertyAnimation/CAPropertyAnimation+Extra/CAPropertyAnimation+Extra.h:30; JobsByPods/JobsByOCPods@Pods/Core/UIKit/CAPropertyAnimation/CAPropertyAnimation+Extra/CAPropertyAnimation+Extra.m:21
DateFormatter,amsymbol,swift_only,,byAMSymbol,,,JobsByPods/JobsSwiftDSL@Pods/UIKit/iOS.SDK/DateFormatter/DateFormatter+DSL.swift:122,
DateFormatter,calendar,swift_only,,byCalendar,,,JobsByPods/JobsSwiftDSL@Pods/UIKit/iOS.SDK/DateFormatter/DateFormatter+DSL.swift:66,
DateFormatter,dateformat,swift_only,,byDateFormat,,,JobsByPods/JobsSwiftDSL@Pods/UIKit/iOS.SDK/DateFormatter/DateFormatter+DSL.swift:18,
DateFormatter,datestyle,swift_only,,byDateStyle,,,JobsByPods/JobsSwiftDSL@Pods/UIKit/iOS.SDK/DateFormatter/DateFormatter+DSL.swift:33,
DateFormatter,defaultdate,swift_only,,byDefaultDate,,,JobsByPods/JobsSwiftDSL@Pods/UIKit/iOS.SDK/DateFormatter/DateFormatter+DSL.swift:108,
DateFormatter,doesrelativedateformatting,swift_only,,byDoesRelativeDateFormatting,,,JobsByPods/JobsSwiftDSL@Pods/UIKit/iOS.SDK/DateFormatter/DateFormatter+DSL.swift:91,
DateFormatter,erasymbols,swift_only,,byEraSymbols,,,JobsByPods/JobsSwiftDSL@Pods/UIKit/iOS.SDK/DateFormatter/DateFormatter+DSL.swift:134,
DateFormatter,formatterbehavior,swift_only,,byFormatterBehavior,,,JobsByPods/JobsSwiftDSL@Pods/UIKit/iOS.SDK/DateFormatter/DateFormatter+DSL.swift:78,
DateFormatter,formattingcontext,swift_only,,byFormattingContext,,,JobsByPods/JobsSwiftDSL@Pods/UIKit/iOS.SDK/DateFormatter/DateFormatter+DSL.swift:116,
DateFormatter,generatescalendardates,swift_only,,byGeneratesCalendarDates,,,JobsByPods/JobsSwiftDSL@Pods/UIKit/iOS.SDK/DateFormatter/DateFormatter+DSL.swift:72,
DateFormatter,gregorianstartdate,swift_only,,byGregorianStartDate,,,JobsByPods/JobsSwiftDSL@Pods/UIKit/iOS.SDK/DateFormatter/DateFormatter+DSL.swift:242,
DateFormatter,lenient,swift_only,,byLenient,,,JobsByPods/JobsSwiftDSL@Pods/UIKit/iOS.SDK/DateFormatter/DateFormatter+DSL.swift:85,
DateFormatter,locale,swift_only,,byLocale,,,JobsByPods/JobsSwiftDSL@Pods/UIKit/iOS.SDK/DateFormatter/DateFormatter+DSL.swift:54,
DateFormatter,localizedtemplate,swift_only,,byLocalizedTemplate,,,JobsByPods/JobsSwiftDSL@Pods/UIKit/iOS.SDK/DateFormatter/DateFormatter+DSL.swift:25,
DateFormatter,longerasymbols,swift_only,,byLongEraSymbols,,,JobsByPods/JobsSwiftDSL@Pods/UIKit/iOS.SDK/DateFormatter/DateFormatter+DSL.swift:140,
DateFormatter,monthsymbols,swift_only,,byMonthSymbols,,,JobsByPods/JobsSwiftDSL@Pods/UIKit/iOS.SDK/DateFormatter/DateFormatter+DSL.swift:146,
DateFormatter,pmsymbol,swift_only,,byPMSymbol,,,JobsByPods/JobsSwiftDSL@Pods/UIKit/iOS.SDK/DateFormatter/DateFormatter+DSL.swift:128,
DateFormatter,quartersymbols,swift_only,,byQuarterSymbols,,,JobsByPods/JobsSwiftDSL@Pods/UIKit/iOS.SDK/DateFormatter/DateFormatter+DSL.swift:218,
DateFormatter,relativedateformatting,swift_only,,byRelativeDateFormatting,,,JobsByPods/JobsSwiftDSL@Pods/UIKit/iOS.SDK/DateFormatter/DateFormatter+DSL.swift:97,
