class,api_kind,api_name,selector_arity,expected_dsl,canonical,readonly,class_member,sdk_file,sdk_line,declaration,coverage_status,recommended_action,oc_names,swift_names,oc_support_names,oc_files,swift_files,oc_support_files
UIView,property,layerClass,,byLayerClass,layerclass,YES,YES,System/Library/Frameworks/UIKit.framework/Headers/UIView.h,150,"@property(class, nonatomic, readonly) Class layerClass;",missing_both,review_readonly_terminal_or_skip,,,,,,
UIView,property,userInteractionEnabled,,byUserInteractionEnabled,userinteractionenabled,NO,NO,System/Library/Frameworks/UIKit.framework/Headers/UIView.h,156,"@property(nonatomic,getter=isUserInteractionEnabled) BOOL userInteractionEnabled;",covered_both,ok,byUserInteractionEnabled,byUserInteractionEnabled,,JobsByPods/JobsOCDSL@Pods/Core/UIKit/UIView+DSLs/UIView+DSL/UIView+DSL.h:176; JobsByPods/JobsOCDSL@Pods/Core/UIKit/UIView+DSLs/UIView+DSL/UIView+DSL.m:107,JobsByPods/JobsSwiftDSL@Pods/UIKit/iOS.SDK/UIView/UIView+DSL.swift:208; JobsByPods/JobsSwiftDSL@Pods/UIKit/iOS.SDK/UIView/UIView+DSL.swift:400,
UIView,property,tag,,byTag,tag,NO,NO,System/Library/Frameworks/UIKit.framework/Headers/UIView.h,157,@property(nonatomic) NSInteger tag;,covered_both,ok,byTag,byTag,,JobsByPods/JobsOCDSL@Pods/Core/UIKit/UIView+DSLs/UIView+DSL/UIView+DSL.h:175; JobsByPods/JobsOCDSL@Pods/Core/UIKit/UIView+DSLs/UIView+DSL/UIView+DSL.m:98,JobsByPods/JobsSwiftDSL@Pods/UIKit/iOS.SDK/UIView/UIView+DSL.swift:202; JobsByPods/JobsSwiftDSL@Pods/UIKit/iOS.SDK/UIView/UIView+DSL.swift:394,
UIView,property,layer,,byLayer,layer,YES,NO,System/Library/Frameworks/UIKit.framework/Headers/UIView.h,158,"@property(nonatomic,readonly,strong) CALayer *layer;",covered_both,review_readonly_terminal_or_skip,byLayer,byLayer,,JobsByPods/JobsOCDSL@Pods/Core/UIKit/UIView+DSLs/UIView+DSL/UIView+DSL.h:183; JobsByPods/JobsOCDSL@Pods/Core/UIKit/UIView+DSLs/UIView+DSL/UIView+DSL.m:185,JobsByPods/JobsSwiftDSL@Pods/UIKit/iOS.SDK/UIView/UIView+DSL.swift:416,
UIView,property,canBecomeFocused,,byCanBecomeFocused,canbecomefocused,YES,NO,System/Library/Frameworks/UIKit.framework/Headers/UIView.h,160,"@property(nonatomic,readonly) BOOL canBecomeFocused API_AVAILABLE(ios(9.0));",missing_both,review_readonly_terminal_or_skip,,,,,,
UIView,property,focused,,byFocused,focused,YES,NO,System/Library/Frameworks/UIKit.framework/Headers/UIView.h,161,"@property (readonly, nonatomic, getter=isFocused) BOOL focused API_AVAILABLE(ios(9.0));",missing_both,review_readonly_terminal_or_skip,,,,,,
UIView,property,focusGroupIdentifier,,byFocusGroupIdentifier,focusgroupidentifier,NO,NO,System/Library/Frameworks/UIKit.framework/Headers/UIView.h,164,"@property (nonatomic, readwrite, nullable, copy) NSString *focusGroupIdentifier API_AVAILABLE(ios(14.0)) API_UNAVAILABLE(tvos, watchos);",missing_swift,add_swift_dsl,byFocusGroupIdentifier,,,JobsByPods/JobsOCDSL@Pods/Core/UIKit/UIView+DSLs/UIView+DSL/UIView+DSL.h:217; JobsByPods/JobsOCDSL@Pods/Core/UIKit/UIView+DSLs/UIView+DSL/UIView+DSL.m:404,,
UIView,property,focusGroupPriority,,byFocusGroupPriority,focusgrouppriority,NO,NO,System/Library/Frameworks/UIKit.framework/Headers/UIView.h,168,"@property (nonatomic, readwrite) UIFocusGroupPriority focusGroupPriority API_AVAILABLE(ios(15.0)) API_UNAVAILABLE(tvos, watchos);",missing_swift,add_swift_dsl,byFocusGroupPriority,,,JobsByPods/JobsOCDSL@Pods/Core/UIKit/UIView+DSLs/UIView+DSL/UIView+DSL.h:218; JobsByPods/JobsOCDSL@Pods/Core/UIKit/UIView+DSLs/UIView+DSL/UIView+DSL.m:414,,
UIView,property,focusEffect,,byFocusEffect,focuseffect,NO,NO,System/Library/Frameworks/UIKit.framework/Headers/UIView.h,171,"@property (nonatomic, readwrite, nullable, copy) UIFocusEffect *focusEffect API_AVAILABLE(ios(15.0)) API_UNAVAILABLE(tvos, watchos);",missing_swift,add_swift_dsl,byFocusEffect,,,JobsByPods/JobsOCDSL@Pods/Core/UIKit/UIView+DSLs/UIView+DSL/UIView+DSL.h:219; JobsByPods/JobsOCDSL@Pods/Core/UIKit/UIView+DSLs/UIView+DSL/UIView+DSL.m:424,,
UIView,property,semanticContentAttribute,,bySemanticContentAttribute,semanticcontentattribute,NO,NO,System/Library/Frameworks/UIKit.framework/Headers/UIView.h,173,@property (nonatomic) UISemanticContentAttribute semanticContentAttribute API_AVAILABLE(ios(9.0));,missing_swift,add_swift_dsl,bySemanticContentAttribute,,,JobsByPods/JobsOCDSL@Pods/Core/UIKit/UIView+DSLs/UIView+DSL/UIView+DSL.h:203; JobsByPods/JobsOCDSL@Pods/Core/UIKit/UIView+DSLs/UIView+DSL/UIView+DSL.m:307,,
UIView,class_method,userInterfaceLayoutDirectionForSemanticContentAttribute,1,byUserInterfaceLayoutDirectionForSemanticContentAttribute,userinterfacelayoutdirectionforsemanticcontentattribute,,YES,System/Library/Frameworks/UIKit.framework/Headers/UIView.h,176,+ (UIUserInterfaceLayoutDirection)userInterfaceLayoutDirectionForSemanticContentAttribute:(UISemanticContentAttribute)attribute API_AVAILABLE(ios(9.0));,missing_both,review_class_member,,,,,,
UIView,property,effectiveUserInterfaceLayoutDirection,,byEffectiveUserInterfaceLayoutDirection,effectiveuserinterfacelayoutdirection,YES,NO,System/Library/Frameworks/UIKit.framework/Headers/UIView.h,182,"@property (readonly, nonatomic) UIUserInterfaceLayoutDirection effectiveUserInterfaceLayoutDirection API_AVAILABLE(ios(10.0)) API_UNAVAILABLE(watchos);",missing_both,review_readonly_terminal_or_skip,,,,,,
