class,api_kind,api_name,selector_arity,expected_dsl,canonical,readonly,class_member,sdk_file,sdk_line,declaration
UIView,property,layerClass,,byLayerClass,layerclass,YES,YES,System/Library/Frameworks/UIKit.framework/Headers/UIView.h,150,"@property(class, nonatomic, readonly) Class layerClass;"
UIView,property,userInteractionEnabled,,byUserInteractionEnabled,userinteractionenabled,NO,NO,System/Library/Frameworks/UIKit.framework/Headers/UIView.h,156,"@property(nonatomic,getter=isUserInteractionEnabled) BOOL userInteractionEnabled;"
UIView,property,tag,,byTag,tag,NO,NO,System/Library/Frameworks/UIKit.framework/Headers/UIView.h,157,@property(nonatomic) NSInteger tag;
UIView,property,layer,,byLayer,layer,YES,NO,System/Library/Frameworks/UIKit.framework/Headers/UIView.h,158,"@property(nonatomic,readonly,strong) CALayer *layer;"
UIView,property,canBecomeFocused,,byCanBecomeFocused,canbecomefocused,YES,NO,System/Library/Frameworks/UIKit.framework/Headers/UIView.h,160,"@property(nonatomic,readonly) BOOL canBecomeFocused API_AVAILABLE(ios(9.0));"
UIView,property,focused,,byFocused,focused,YES,NO,System/Library/Frameworks/UIKit.framework/Headers/UIView.h,161,"@property (readonly, nonatomic, getter=isFocused) BOOL focused API_AVAILABLE(ios(9.0));"
UIView,property,focusGroupIdentifier,,byFocusGroupIdentifier,focusgroupidentifier,NO,NO,System/Library/Frameworks/UIKit.framework/Headers/UIView.h,164,"@property (nonatomic, readwrite, nullable, copy) NSString *focusGroupIdentifier API_AVAILABLE(ios(14.0)) API_UNAVAILABLE(tvos, watchos);"
UIView,property,focusGroupPriority,,byFocusGroupPriority,focusgrouppriority,NO,NO,System/Library/Frameworks/UIKit.framework/Headers/UIView.h,168,"@property (nonatomic, readwrite) UIFocusGroupPriority focusGroupPriority API_AVAILABLE(ios(15.0)) API_UNAVAILABLE(tvos, watchos);"
UIView,property,focusEffect,,byFocusEffect,focuseffect,NO,NO,System/Library/Frameworks/UIKit.framework/Headers/UIView.h,171,"@property (nonatomic, readwrite, nullable, copy) UIFocusEffect *focusEffect API_AVAILABLE(ios(15.0)) API_UNAVAILABLE(tvos, watchos);"
UIView,property,semanticContentAttribute,,bySemanticContentAttribute,semanticcontentattribute,NO,NO,System/Library/Frameworks/UIKit.framework/Headers/UIView.h,173,@property (nonatomic) UISemanticContentAttribute semanticContentAttribute API_AVAILABLE(ios(9.0));
